"","compare_name","in_region"
"1","Clupea pallasii","yes"
"2","Cymatogaster aggregata","yes"
"3","Ammodytes personatus","yes"
"4","Cottus asper","yes"
"5","Gasterosteus aculeatus","yes"
"6","Oncorhynchus gorbuscha","yes"
"7","Hexagrammos decagrammus","yes"
"8","Leptocottus armatus","yes"
"9","Artedius harringtoni","yes"
"10","Oncorhynchus kisutch","yes"
"11","Oncorhynchus tshawytscha","yes"
"12","Pholis laeta","yes"
"13","Isopsetta isolepis","yes"
"14","Sebastes baramenuke","yes"
"15","Oncorhynchus keta","yes"
"16","Platichthys stellatus","yes"
"17","Artedius fenestralis","yes"
"18","Apodichthys flavidus","yes"
"19","Rhacochilus vacca","yes"
"20","Sebastes caurinus","yes"
"21","Coryphaenoides acrolepis","yes"
"22","Hexagrammos agrammus","yes"
"23","Cottus cognatus","yes"
"24","Hemilepidotus hemilepidotus","yes"
"25","Ophiodon elongatus","yes"
"26","Pholis ornata","yes"
"27","Myoxocephalus jaok","yes"
"28","Scorpaenichthys marmoratus","yes"
"29","Ammodytes marinus","yes"
"30","Anarrhichthys ocellatus","yes"
"31","Xiphister atropurpureus","yes"
"32","Embiotoca lateralis","yes"
"33","Ascelichthys rhodorus","yes"
"34","Cottus hangiongensis","yes"
"35","Pseudobathylagus milleri","yes"
"36","Jordania zonope","yes"
"37","Anoplarchus purpurescens","yes"
"38","Citharichthys stigmaeus","yes"
"39","Aulorhynchus flavidus","yes"
"40","Bathylagus pacificus","yes"
"41","Lumpenus sagitta","yes"
"42","Artedius lateralis","yes"
"43","Bryozoichthys lysimus","yes"
"44","Oligocottus maculosus","yes"
"45","Sebastes nebulosus","yes"
"46","Chitonotus pugetensis","yes"
"47","Liparis cyclopus","yes"
"48","Brachyistius frenatus","yes"
"49","Hippoglossus hippoglossus","yes"
"50","Trichodon trichodon","yes"
"51","Glyptocephalus zachirus","yes"
"52","Poromitra curilensis","yes"
"53","Engraulis mordax","yes"
"54","Gadus chalcogrammus","yes"
"55","Gobiesox maeandricus","yes"
"56","Hemilepidotus spinosus","yes"
"57","Liparis florae","yes"
"58","Gibbonsia montereyensis","yes"
"59","Brosmophycis marginata","yes"
"60","Stenobrachius leucopsarus","yes"
"61","Sebastes entomelas","yes"
"62","Microstomus pacificus","yes"
"63","Sardinops melanostictus","yes"
"64","Atheresthes evermanni","yes"
"65","Gadus morhua","yes"
"66","Citharichthys sordidus","yes"
"67","Salvelinus malma","yes"
"68","Phytichthys chirus","yes"
"69","Syngnathus leptorhynchus","yes"
"70","Sprattus sprattus","yes"
"71","Stenobrachius nannochir","yes"
"72","Synchirus gilli","yes"
"73","Blepsias cirrhosus","yes"
"74","Enophrys bison","yes"
"75","Melamphaes lugubris","yes"
"76","Oncorhynchus nerka","yes"
"77","Clupea harengus","yes"
"78","Liparis pulchellus","yes"
"79","Nautichthys oculofasciatus","yes"
"80","Thaleichthys pacificus","yes"
"81","Sebastes crameri","yes"
"82","Lepidopsetta bilineata","yes"
"83","Icosteus aenigmaticus","yes"
"84","Cyclothone atraria","yes"
"85","Clinocottus globiceps","yes"
"86","Cottus rhenanus","yes"
"87","Clinocottus acuticeps","yes"
"88","Pleuronichthys coenosus","yes"
"89","Oxylebius pictus","yes"
"90","Rimicola muscarum","yes"
"91","Lepidogobius lepidus","yes"
"92","Anoplopoma fimbria","yes"
"93","Cyclothone acclinidens","yes"
"94","Odontopyxis trispinosa","yes"
"95","Salvelinus taranetzi","yes"
"96","Scomber japonicus","yes"
"97","Sebastes paucispinis","yes"
"98","Oncorhynchus clarkii lewisi","yes"
"99","Amphistichus rhodoterus","yes"
"100","Lyopsetta exilis","yes"
"101","Oncorhynchus mykiss","yes"
"102","Sebastes mystinus","yes"
"103","Sebastes auriculatus","yes"
"104","Cryptacanthodes giganteus","yes"
"105","Gadus ogac","yes"
"106","Cottus ricei","yes"
"107","Liparis mucosus","yes"
"108","Merluccius productus","yes"
"109","Microgadus proximus","yes"
"110","Pholis crassispina","yes"
"111","Gadus macrocephalus","yes"
