"","ncbi_id","inclusion","accepted_name","verbatim_name","taxonomic_status","species","subspecies","taxon_rank","class","order","family","genus","is_marine","is_brackish","is_freshwater","taxon_id","fishbase_name"
"1",8110,"n","Sebastolobus altivelis","Sebastolobus altivelis","accepted","Sebastolobus altivelis",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastolobus",TRUE,FALSE,FALSE,282741,"Sebastolobus altivelis"
"2",72081,"n","Sebastes jordani","Sebastes jordani","accepted","Sebastes jordani",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274806,"Sebastes jordani"
"3",72106,"n","Sebastes variegatus","Sebastes variegatus","accepted","Sebastes variegatus",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274863,"Sebastes variegatus"
"4",215430,"n","Lycodes concolor","Lycodes concolor","accepted","Lycodes concolor",NA,"species","Actinopteri","Perciformes","Zoarcidae","Lycodes",TRUE,FALSE,FALSE,367289,"Lycodes concolor"
"5",341243,"n","Bathyraja aleutica","Bathyraja aleutica","accepted","Bathyraja aleutica",NA,"species","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja",TRUE,FALSE,FALSE,271506,"Bathyraja aleutica"
"6",341245,"n","Bathyraja lindbergi","Bathyraja lindbergi","accepted","Bathyraja lindbergi",NA,"species","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja",TRUE,FALSE,FALSE,271517,"Bathyraja lindbergi"
"7",341247,"n","Bathyraja mariposa","Bathyraja mariposa","accepted","Bathyraja mariposa",NA,"species","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja",TRUE,FALSE,FALSE,271522,"Bathyraja mariposa"
"8",341249,"n","Bathyraja parmifera","Bathyraja parmifera","accepted","Bathyraja parmifera",NA,"species","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja",TRUE,FALSE,FALSE,271528,"Arctoraja parmifera"
"9",394702,"n","Sebastes polyspinis","Sebastes polyspinis","accepted","Sebastes polyspinis",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274837,"Sebastes polyspinis"
"10",428036,"n","Lumpenus sagitta","Lumpenus sagitta","accepted","Lumpenus sagitta",NA,"species","Actinopteri","Perciformes","Stichaeidae","Lumpenus",TRUE,FALSE,FALSE,254579,"Lumpenus sagitta"
"11",7797,"y","Squalus acanthias","Squalus acanthias","accepted","Squalus acanthias",NA,"species","Elasmobranchii","Squaliformes","Squalidae","Squalus",TRUE,TRUE,FALSE,105923,"Squalus acanthias"
"12",8017,"y","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","accepted","Oncorhynchus gorbuscha",NA,"species","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",TRUE,TRUE,TRUE,127182,"Oncorhynchus gorbuscha"
"13",8018,"y","Oncorhynchus keta","Oncorhynchus keta","accepted","Oncorhynchus keta",NA,"species","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",TRUE,TRUE,TRUE,127183,"Oncorhynchus keta"
"14",8019,"y","Oncorhynchus kisutch","Oncorhynchus kisutch","accepted","Oncorhynchus kisutch",NA,"species","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",TRUE,TRUE,TRUE,127184,"Oncorhynchus kisutch"
"15",8023,"y","Oncorhynchus nerka","Oncorhynchus nerka","accepted","Oncorhynchus nerka",NA,"species","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",TRUE,TRUE,TRUE,254569,"Oncorhynchus nerka"
"16",8039,"y","Salvelinus malma","Salvelinus malma","accepted","Salvelinus malma",NA,"species","Actinopteri","Salmoniformes","Salmonidae","Salvelinus",TRUE,TRUE,TRUE,254570,"Salvelinus malma"
"17",30724,"y","Clupea pallasii","Clupea pallasii","accepted","Clupea pallasii",NA,"species","Actinopteri","Clupeiformes","Clupeidae","Clupea",TRUE,TRUE,TRUE,151159,"Clupea pallasii"
"18",30945,"y","Hippoglossoides elassodon","Hippoglossoides elassodon","accepted","Hippoglossoides elassodon",NA,"species","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossoides",TRUE,FALSE,FALSE,274289,"Hippoglossoides elassodon"
"19",30960,"y","Mallotus villosus","Mallotus villosus","accepted","Mallotus villosus",NA,"species","Actinopteri","Osmeriformes","Osmeridae","Mallotus",TRUE,TRUE,TRUE,126735,"Mallotus villosus"
"20",38578,"y","Lamna ditropis","Lamna ditropis","accepted","Lamna ditropis",NA,"species","Elasmobranchii","Lamniformes","Lamnidae","Lamna",TRUE,FALSE,FALSE,271421,"Lamna ditropis"
